# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  160       6.174727690793e-10       1.350277862813e-13      -5.967699003298e-12       0.000000000000e+00       3.382233153973e-12       9.561169035332e-15      -3.404751565182e-15 
  161       6.214573889393e-10       1.338530983114e-13      -5.938397844959e-12       0.000000000000e+00       3.320299716694e-12       1.226028841544e-14      -3.341219005803e-15 
  162       6.254038184129e-10       1.326388776514e-13      -5.905586919777e-12       0.000000000000e+00       3.259813916217e-12       1.488884269420e-14      -3.279108079420e-15 
  163       6.293108887815e-10       1.313874263659e-13      -5.869244140919e-12       0.000000000000e+00       3.200742532502e-12       1.742914579561e-14      -3.218089628528e-15 
  164       6.331774070774e-10       1.301011630535e-13      -5.829349408056e-12       0.000000000000e+00       3.143046746288e-12       1.986279908071e-14      -3.157814367231e-15 
  165       6.370021556689e-10       1.287826244776e-13      -5.785884647294e-12       0.000000000000e+00       3.086682027591e-12       2.217068142329e-14      -3.097912548129e-15 
  166       6.407838918447e-10       1.274344671961e-13      -5.738833851094e-12       0.000000000000e+00       3.031598024204e-12       2.433293928560e-14      -3.037993629206e-15 
  167       6.445213626883e-10       1.260594391538e-13      -5.688182831914e-12       0.000000000000e+00       2.977745815004e-12       2.633588720921e-14      -2.977737144773e-15 
  168       6.482133519996e-10       1.246602883176e-13      -5.633918375855e-12       0.000000000000e+00       2.925100598473e-12       2.819339121180e-14      -2.917174722634e-15 
  169       6.518586366005e-10       1.232398493295e-13      -5.576029092886e-12       0.000000000000e+00       2.873640735780e-12       2.992729955060e-14      -2.856431606053e-15 
  170       6.554559710571e-10       1.218010743334e-13      -5.514505735028e-12       0.000000000000e+00       2.823340480805e-12       3.156071598100e-14      -2.795637671699e-15 
  171       6.590040873294e-10       1.203470344770e-13      -5.449341235050e-12       0.000000000000e+00       2.774169900142e-12       3.311801938925e-14      -2.734927486632e-15 
