# Matter power spectrum P(k) at redshift z=0
# for k=1.045e-05 to 0.630176 h/Mpc,
# number of wavenumbers equal to 561
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       2.509407800267e-01       1.453314264333e+03 
       2.541546085066e-01       1.426096827904e+03 
       2.573684382708e-01       1.398005888916e+03 
       2.605822692714e-01       1.368756020516e+03 
       2.637961014631e-01       1.338304480008e+03 
       2.670099348026e-01       1.306789543950e+03 
       2.702237692487e-01       1.274519952896e+03 
       2.734376047621e-01       1.241923782406e+03 
       2.766514413055e-01       1.209512308649e+03 
       2.798652788431e-01       1.177830729661e+03 
       2.830791173408e-01       1.147376714726e+03 
       2.862929567663e-01       1.118545853900e+03 
       2.895067970883e-01       1.091613683326e+03 
       2.927206382773e-01       1.066685281912e+03 
       2.959344803048e-01       1.043725532909e+03 
       2.991483231436e-01       1.022571944389e+03 
       3.023621667678e-01       1.002985891568e+03 
       3.055760111524e-01       9.846865469850e+02 
       3.087898562736e-01       9.673715362400e+02 
       3.120037021084e-01       9.507335585325e+02 
       3.152175486350e-01       9.344885768644e+02 
       3.184313958323e-01       9.183828549749e+02 
       3.216452436801e-01       9.022131889406e+02 
       3.248590921590e-01       8.858426559764e+02 
       3.280729412504e-01       8.692253784947e+02 
       3.312867909362e-01       8.523940353451e+02 
       3.345006411995e-01       8.354417735097e+02 
       3.377144920234e-01       8.185120279747e+02 
       3.409283433922e-01       8.017618439137e+02 
       3.441421952905e-01       7.853283849261e+02 
       3.473560477036e-01       7.693549571249e+02 
       3.505699006171e-01       7.539462263090e+02 
       3.537837540175e-01       7.391787479244e+02 
       3.569976078914e-01       7.251162124040e+02 
       3.602114622263e-01       7.117765927123e+02 
       3.634253170097e-01       6.991402693689e+02 
       3.666391722299e-01       6.871605641846e+02 
       3.698530278753e-01       6.757414324649e+02 
       3.730668839351e-01       6.647721947175e+02 
       3.762807403984e-01       6.541550439820e+02 
       3.794945972551e-01       6.437705814533e+02 
       3.827084544951e-01       6.335499879606e+02 
       3.859223121089e-01       6.234354368773e+02 
       3.891361700871e-01       6.133948633841e+02 
       3.923500284207e-01       6.034052044829e+02 
       3.955638871012e-01       5.934664483455e+02 
       3.987777461199e-01       5.835843281386e+02 
       4.019916054689e-01       5.737777886318e+02 
       4.052054651401e-01       5.640834412120e+02 
       4.084193251260e-01       5.545485278588e+02 
       4.116331854192e-01       5.452086182728e+02 
       4.148470460125e-01       5.361140662516e+02 
       4.180609068989e-01       5.272890192616e+02 
       4.212747680717e-01       5.187446872627e+02 
       4.244886295244e-01       5.104821646839e+02 
       4.277024912507e-01       5.024903420500e+02 
       4.309163532444e-01       4.947585999358e+02 
       4.341302154995e-01       4.872683072239e+02 
       4.373440780103e-01       4.800058310126e+02 
       4.405579407711e-01       4.729516983042e+02 
       4.437718037765e-01       4.660797494148e+02 
       4.469856670213e-01       4.593576710814e+02 
       4.501995305001e-01       4.527777040468e+02 
       4.534133942082e-01       4.462501739022e+02 
       4.566272581405e-01       4.398246630322e+02 
       4.598411222925e-01       4.334724578993e+02 
       4.630549866594e-01       4.271939075239e+02 
       4.662688512368e-01       4.209916834381e+02 
       4.694827160205e-01       4.148770583224e+02 
       4.726965810061e-01       4.088550737746e+02 
       4.759104461897e-01       4.029308964662e+02 
       4.791243115670e-01       3.971109604334e+02 
       4.823381771344e-01       3.914059777247e+02 
       4.855520428880e-01       3.858301894391e+02 
       4.887659088241e-01       3.803892527927e+02 
       4.919797749391e-01       3.750915440230e+02 
       4.951936412296e-01       3.699373172721e+02 
       4.984075076921e-01       3.649162958488e+02 
       5.016213743233e-01       3.600177545914e+02 
       5.048352411199e-01       3.552448287637e+02 
       5.080491080789e-01       3.505395786498e+02 
       5.112629751972e-01       3.459379929161e+02 
       5.144768424717e-01       3.414208263511e+02 
       5.176907098996e-01       3.369794209688e+02 
       5.209045774780e-01       3.326085561644e+02 
       5.241184452041e-01       3.283030568829e+02 
       5.273323130752e-01       3.240572986282e+02 
       5.305461810887e-01       3.198642173828e+02 
       5.337600492420e-01       3.157291854963e+02 
       5.369739175325e-01       3.116559103481e+02 
       5.401877859579e-01       3.076501393868e+02 
       5.434016545157e-01       3.037157551303e+02 
       5.466155232035e-01       2.998551963059e+02 
       5.498293920191e-01       2.960690921096e+02 
       5.530432609603e-01       2.923546758674e+02 
       5.562571300249e-01       2.887103681755e+02 
       5.594709992107e-01       2.851334281544e+02 
       5.626848685156e-01       2.816255185293e+02 
       5.658987379377e-01       2.781860343877e+02 
       5.691126074749e-01       2.748153358218e+02 
       5.723264771253e-01       2.715086075333e+02 
       5.755403468869e-01       2.682609465993e+02 
       5.787542167580e-01       2.650673752711e+02 
       5.819680867367e-01       2.619273271964e+02 
       5.851819568212e-01       2.588295097478e+02 
       5.883958270098e-01       2.557802390640e+02 
       5.916096973008e-01       2.527792848281e+02 
       5.948235676925e-01       2.498239341636e+02 
       5.980374381833e-01       2.469153953370e+02 
       6.012513087716e-01       2.440517362326e+02 
       6.044651794559e-01       2.412289116502e+02 
       6.076790502345e-01       2.384473486755e+02 
       6.108929211061e-01       2.357056902082e+02 
       6.141067920692e-01       2.330065966254e+02 
       6.173206631223e-01       2.303526331629e+02 
       6.205345342640e-01       2.277456720044e+02 
       6.237484054929e-01       2.251839236680e+02 
       6.269622768078e-01       2.226654572629e+02 
       6.301761482072e-01       2.201887463843e+02 
