# Matter power spectrum P(k) at redshift z=0
# for k=1.045e-05 to 0.630176 h/Mpc,
# number of wavenumbers equal to 561
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       5.845629164433e-02       1.197590074968e+04 
       5.947278548542e-02       1.183881726029e+04 
       6.059253700148e-02       1.169182459707e+04 
       6.183293614460e-02       1.153147814780e+04 
       6.321391893149e-02       1.135416726240e+04 
       6.475739928012e-02       1.115595539129e+04 
       6.648575414144e-02       1.092931651948e+04 
       6.841893747933e-02       1.066873374951e+04 
       7.057014987377e-02       1.036503049350e+04 
       7.294095996372e-02       1.001306906135e+04 
       7.551806990129e-02       9.609864521971e+03 
       7.827420128445e-02       9.159858343877e+03 
       8.117356127556e-02       8.673568160882e+03 
       8.417927795719e-02       8.167693918495e+03 
       8.725923914211e-02       7.662056543881e+03 
       9.038865669769e-02       7.175680199035e+03 
       9.354994720135e-02       6.724627189208e+03 
       9.673132957116e-02       6.320501494180e+03 
       9.992519882756e-02       5.969604211020e+03 
       1.031267606319e-01       5.673381090189e+03 
       1.063330368592e-01       5.428455710846e+03 
       1.095421942992e-01       5.228952579709e+03 
       1.127531106883e-01       5.066191892780e+03 
       1.159651012160e-01       4.930262158091e+03 
       1.191777487574e-01       4.810937145890e+03 
       1.223907994467e-01       4.698237669988e+03 
       1.256040987952e-01       4.583812237135e+03 
       1.288175527391e-01       4.461137234803e+03 
       1.320311039359e-01       4.326425903755e+03 
       1.352447173566e-01       4.178446647399e+03 
       1.384583715337e-01       4.018190488778e+03 
       1.416720532463e-01       3.849039102098e+03 
       1.448857542940e-01       3.675227731521e+03 
       1.480994695363e-01       3.502414396718e+03 
       1.513131957030e-01       3.335492740938e+03 
       1.545269306702e-01       3.178846748481e+03 
       1.577406730209e-01       3.035928701250e+03 
       1.609544217762e-01       2.908959451791e+03 
       1.641681762326e-01       2.798677782168e+03 
       1.673819358614e-01       2.704687774824e+03 
       1.705957002475e-01       2.625444739883e+03 
       1.738094690518e-01       2.558649389773e+03 
       1.770232419870e-01       2.501384058806e+03 
       1.802370188032e-01       2.450558525196e+03 
       1.834507992782e-01       2.403250198512e+03 
       1.866645832114e-01       2.356914420159e+03 
       1.898783704198e-01       2.308796646360e+03 
       1.930921607346e-01       2.257038580379e+03 
       1.963059540000e-01       2.200810751151e+03 
       1.995197500707e-01       2.140065030561e+03 
       2.027335488115e-01       2.075529068839e+03 
       2.059473500959e-01       2.008314216871e+03 
       2.091611538055e-01       1.940257689328e+03 
       2.123749598292e-01       1.872868786819e+03 
       2.155887680625e-01       1.807755353993e+03 
       2.188025784075e-01       1.746171181329e+03 
       2.220163907715e-01       1.689070687767e+03 
       2.252302050677e-01       1.637044405591e+03 
       2.284440212138e-01       1.590288828048e+03 
       2.316578391324e-01       1.548763030707e+03 
       2.348716587501e-01       1.511984408103e+03 
       2.380854799977e-01       1.479393299171e+03 
       2.412993028097e-01       1.450084695904e+03 
       2.445131271239e-01       1.423049233868e+03 
       2.477269528815e-01       1.397305527661e+03 
       2.509407800267e-01       1.371951398448e+03 
       2.541546085066e-01       1.346248872322e+03 
       2.573684382708e-01       1.319722274556e+03 
       2.605822692714e-01       1.292113445082e+03 
       2.637961014631e-01       1.263362064341e+03 
       2.670099348026e-01       1.233616820584e+03 
       2.702237692487e-01       1.203147960285e+03 
       2.734376047621e-01       1.172370087340e+03 
       2.766514413055e-01       1.141778695837e+03 
       2.798652788431e-01       1.111877350376e+03 
       2.830791173408e-01       1.083129198581e+03 
       2.862929567663e-01       1.055931930566e+03 
       2.895067970883e-01       1.030499246123e+03 
       2.927206382773e-01       1.006962949518e+03 
       2.959344803048e-01       9.852887677879e+02 
       2.991483231436e-01       9.653163750466e+02 
       3.023621667678e-01       9.468232643177e+02 
       3.055760111524e-01       9.295546939366e+02 
       3.087898562736e-01       9.132267617186e+02 
       3.120037021084e-01       8.974946597321e+02 
       3.152175486350e-01       8.821555493083e+02 
       3.184313958323e-01       8.669837212735e+02 
       3.216452436801e-01       8.517167629210e+02 
       3.248590921590e-01       8.362635975608e+02 
       3.280729412504e-01       8.205740121104e+02 
       3.312867909362e-01       8.046677554638e+02 
       3.345006411995e-01       7.886584913643e+02 
       3.377144920234e-01       7.726758340798e+02 
       3.409283433922e-01       7.568653536700e+02 
       3.441421952905e-01       7.413494879199e+02 
       3.473560477036e-01       7.262761945774e+02 
       3.505699006171e-01       7.117295362001e+02 
       3.537837540175e-01       6.977911463702e+02 
       3.569976078914e-01       6.845137134762e+02 
       3.602114622263e-01       6.719202962805e+02 
       3.634253170097e-01       6.599977005049e+02 
       3.666391722299e-01       6.486868393650e+02 
       3.698530278753e-01       6.379059957345e+02 
       3.730668839351e-01       6.275575758174e+02 
       3.762807403984e-01       6.175240963528e+02 
       3.794945972551e-01       6.077233894829e+02 
       3.827084544951e-01       5.980732650786e+02 
       3.859223121089e-01       5.885270491383e+02 
       3.891361700871e-01       5.790449509855e+02 
       3.923500284207e-01       5.696168844617e+02 
       3.955638871012e-01       5.602323335912e+02 
       3.987777461199e-01       5.509034678886e+02 
       4.019916054689e-01       5.416459804389e+02 
       4.052054651401e-01       5.324958174574e+02 
       4.084193251260e-01       5.234943423662e+02 
       4.116331854192e-01       5.146790253991e+02 
       4.148470460125e-01       5.060953139814e+02 
       4.180609068989e-01       4.977647349708e+02 
       4.212747680717e-01       4.897016439360e+02 
       4.244886295244e-01       4.819011963217e+02 
       4.277024912507e-01       4.743586848480e+02 
       4.309163532444e-01       4.670559316770e+02 
       4.341302154995e-01       4.599937751367e+02 
       4.373440780103e-01       4.531319199455e+02 
       4.405579407711e-01       4.464686295630e+02 
       4.437718037765e-01       4.399804134897e+02 
       4.469856670213e-01       4.336356062375e+02 
       4.501995305001e-01       4.274016799179e+02 
       4.534133942082e-01       4.212638458386e+02 
       4.566272581405e-01       4.151961112059e+02 
       4.598411222925e-01       4.091965740980e+02 
       4.630549866594e-01       4.032798273887e+02 
       4.662688512368e-01       3.974189142742e+02 
       4.694827160205e-01       3.916457126186e+02 
       4.726965810061e-01       3.859612279090e+02 
       4.759104461897e-01       3.803683750561e+02 
       4.791243115670e-01       3.748742203871e+02 
       4.823381771344e-01       3.694909244354e+02 
       4.855520428880e-01       3.642260783102e+02 
       4.887659088241e-01       3.590904923988e+02 
       4.919797749391e-01       3.540897103519e+02 
       4.951936412296e-01       3.492230074800e+02 
       4.984075076921e-01       3.444835183536e+02 
       5.016213743233e-01       3.398589503343e+02 
       5.048352411199e-01       3.353379423843e+02 
       5.080491080789e-01       3.309102025876e+02 
       5.112629751972e-01       3.265666913561e+02 
       5.144768424717e-01       3.222981986843e+02 
       5.176907098996e-01       3.181087392015e+02 
       5.209045774780e-01       3.139839346997e+02 
       5.241184452041e-01       3.099191784990e+02 
       5.273323130752e-01       3.059098933269e+02 
       5.305461810887e-01       3.019529006763e+02 
       5.337600492420e-01       2.980494026727e+02 
       5.369739175325e-01       2.942040690398e+02 
       5.401877859579e-01       2.904219033892e+02 
       5.434016545157e-01       2.867078860986e+02 
       5.466155232035e-01       2.830645052492e+02 
       5.498293920191e-01       2.794911936578e+02 
       5.530432609603e-01       2.759844935298e+02 
       5.562571300249e-01       2.725437527236e+02 
       5.594709992107e-01       2.691675352418e+02 
       5.626848685156e-01       2.658559702930e+02 
       5.658987379377e-01       2.626093239613e+02 
       5.691126074749e-01       2.594260617029e+02 
       5.723264771253e-01       2.563049958138e+02 
       5.755403468869e-01       2.532393291421e+02 
       5.787542167580e-01       2.502255837123e+02 
       5.819680867367e-01       2.472583250296e+02 
       5.851819568212e-01       2.443425312926e+02 
       5.883958270098e-01       2.414642196446e+02 
       5.916096973008e-01       2.386303568917e+02 
       5.948235676925e-01       2.358414405492e+02 
       5.980374381833e-01       2.330956032268e+02 
       6.012513087716e-01       2.303918041708e+02 
       6.044651794559e-01       2.277280530339e+02 
       6.076790502345e-01       2.251008462609e+02 
       6.108929211061e-01       2.225127571762e+02 
       6.141067920692e-01       2.199591593582e+02 
       6.173206631223e-01       2.174541538793e+02 
       6.205345342640e-01       2.149928328754e+02 
       6.237484054929e-01       2.125744427172e+02 
       6.269622768078e-01       2.101974327020e+02 
       6.301761482072e-01       2.078590442789e+02 
