# Matter power spectrum P(k) at redshift z=0
# for k=1.045e-05 to 0.630176 h/Mpc,
# number of wavenumbers equal to 561
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       5.115611921608e-02       1.316026113703e+04 
       5.163907577182e-02       1.306581876937e+04 
       5.214629778177e-02       1.297026114999e+04 
       5.268052867832e-02       1.287226944443e+04 
       5.324495589638e-02       1.277191058673e+04 
       5.384330215613e-02       1.266975389118e+04 
       5.447993831049e-02       1.256403992361e+04 
       5.516002281028e-02       1.245621763173e+04 
       5.588967347556e-02       1.234341772827e+04 
       5.667617728526e-02       1.222677802564e+04 
       5.752824238764e-02       1.210472734158e+04 
       5.845629166292e-02       1.197589934798e+04 
       5.947278550585e-02       1.183881674944e+04 
       6.059253702404e-02       1.169182333130e+04 
       6.183293616966e-02       1.153147694896e+04 
       6.321391895945e-02       1.135415136336e+04 
       6.475739931141e-02       1.115595463503e+04 
       6.648575417648e-02       1.092931629440e+04 
       6.841893751845e-02       1.066873246329e+04 
       7.057014991713e-02       1.036502766053e+04 
       7.294096001121e-02       1.001306768155e+04 
       7.551806995251e-02       9.609863690748e+03 
       7.827420133877e-02       9.159857640088e+03 
       8.117356133227e-02       8.673567495088e+03 
       8.417927801560e-02       8.167693439070e+03 
       8.725923920169e-02       7.662055599374e+03 
       9.038865675803e-02       7.175679292233e+03 
       9.354994726217e-02       6.724614423527e+03 
       9.673132963228e-02       6.320506744221e+03 
       9.992519888887e-02       5.969602245248e+03 
       1.031267606933e-01       5.673379988054e+03 
       1.063330369207e-01       5.428454464959e+03 
       1.095421943607e-01       5.228951889821e+03 
       1.127531107498e-01       5.066190335964e+03 
       1.159651012776e-01       4.930261935324e+03 
       1.191777488189e-01       4.810936132601e+03 
       1.223907995083e-01       4.698236903198e+03 
       1.256040988568e-01       4.583808368140e+03 
       1.288175528007e-01       4.461136934405e+03 
       1.320311039975e-01       4.326426286624e+03 
       1.352447174183e-01       4.178449474100e+03 
       1.384583715953e-01       4.018190521401e+03 
       1.416720533079e-01       3.849038592648e+03 
       1.448857543556e-01       3.675226590783e+03 
       1.480994695979e-01       3.502412415052e+03 
       1.513131957646e-01       3.335494285163e+03 
       1.545269307319e-01       3.178846684330e+03 
       1.577406730825e-01       3.035928398538e+03 
       1.609544218378e-01       2.908958113257e+03 
       1.641681762942e-01       2.798677694278e+03 
       1.673819359230e-01       2.704686857569e+03 
       1.705957003091e-01       2.625444771579e+03 
       1.738094691134e-01       2.558655896059e+03 
       1.770232420486e-01       2.501384740737e+03 
       1.802370188648e-01       2.450558112427e+03 
       1.834507993398e-01       2.403249912029e+03 
       1.866645832730e-01       2.356913912844e+03 
       1.898783704814e-01       2.308796766489e+03 
       1.930921607962e-01       2.257038975934e+03 
       1.963059540616e-01       2.200810562442e+03 
       1.995197501323e-01       2.140064877054e+03 
       2.027335488731e-01       2.075528578154e+03 
       2.059473501575e-01       2.008314457702e+03 
       2.091611538671e-01       1.940256240667e+03 
       2.123749598908e-01       1.872869012943e+03 
       2.155887681241e-01       1.807755018304e+03 
       2.188025784691e-01       1.746168592848e+03 
       2.220163908332e-01       1.689068474946e+03 
       2.252302051293e-01       1.637044508019e+03 
       2.284440212755e-01       1.590288734857e+03 
       2.316578391940e-01       1.548763198015e+03 
       2.348716588117e-01       1.511985570731e+03 
       2.380854800594e-01       1.479393893642e+03 
       2.412993028713e-01       1.450083438706e+03 
       2.445131271855e-01       1.423050437001e+03 
       2.477269529431e-01       1.397303971009e+03 
       2.509407800884e-01       1.371951086210e+03 
       2.541546085682e-01       1.346248765649e+03 
       2.573684383324e-01       1.319722019760e+03 
       2.605822693330e-01       1.292113296579e+03 
       2.637961015248e-01       1.263363563659e+03 
       2.670099348642e-01       1.233615825540e+03 
       2.702237693103e-01       1.203147783948e+03 
       2.734376048237e-01       1.172370679192e+03 
       2.766514413671e-01       1.141787417924e+03 
       2.798652789047e-01       1.111877393711e+03 
       2.830791174024e-01       1.083129736489e+03 
       2.862929568279e-01       1.055932356965e+03 
       2.895067971500e-01       1.030500666725e+03 
       2.927206383389e-01       1.006962714196e+03 
       2.959344803664e-01       9.852885215583e+02 
       2.991483232052e-01       9.653153153189e+02 
       3.023621668294e-01       9.468238392149e+02 
       3.055760112140e-01       9.295532005992e+02 
       3.087898563352e-01       9.132270946115e+02 
       3.120037021700e-01       8.974963313302e+02 
       3.152175486966e-01       8.821554969165e+02 
       3.184313958939e-01       8.669843419057e+02 
       3.216452437417e-01       8.517169131825e+02 
       3.248590922206e-01       8.362638584943e+02 
       3.280729413120e-01       8.205759831974e+02 
       3.312867909978e-01       8.046674234997e+02 
       3.345006412611e-01       7.886574223507e+02 
       3.377144920850e-01       7.726764726832e+02 
       3.409283434538e-01       7.568644236394e+02 
       3.441421953521e-01       7.413527600100e+02 
       3.473560477652e-01       7.262769802728e+02 
       3.505699006787e-01       7.117284342448e+02 
       3.537837540791e-01       6.977925331594e+02 
       3.569976079531e-01       6.845130678573e+02 
       3.602114622879e-01       6.719201663575e+02 
       3.634253170713e-01       6.599979499509e+02 
       3.666391722915e-01       6.486863251997e+02 
       3.698530279369e-01       6.379062573833e+02 
       3.730668839967e-01       6.275582253826e+02 
       3.762807404600e-01       6.175250949000e+02 
       3.794945973167e-01       6.077241153062e+02 
       3.827084545567e-01       5.980733096697e+02 
       3.859223121705e-01       5.885250798562e+02 
       3.891361701487e-01       5.790446129425e+02 
       3.923500284823e-01       5.696161845691e+02 
       3.955638871628e-01       5.602326710258e+02 
       3.987777461815e-01       5.509034247475e+02 
       4.019916055305e-01       5.416455314658e+02 
       4.052054652017e-01       5.324950954686e+02 
       4.084193251876e-01       5.234933264922e+02 
       4.116331854808e-01       5.146789789119e+02 
       4.148470460741e-01       5.060954756683e+02 
       4.180609069605e-01       4.977644764785e+02 
       4.212747681333e-01       4.897011724257e+02 
       4.244886295860e-01       4.819010368144e+02 
       4.277024913123e-01       4.743589021905e+02 
       4.309163533060e-01       4.670558344372e+02 
       4.341302155611e-01       4.599928172510e+02 
       4.373440780719e-01       4.531313307531e+02 
