# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  154       5.928184648997e-10       1.411293271408e-13      -6.071289665408e-12       0.000000000000e+00       3.290612931167e-12       6.007238970070e-13      -3.785226318239e-15 
  155       5.970061547228e-10       1.402347524513e-13      -6.062473808819e-12       0.000000000000e+00       3.229646714391e-12       5.923337525422e-13      -3.729618043098e-15 
  156       6.011633853892e-10       1.392888592499e-13      -6.050321862437e-12       0.000000000000e+00       3.170122540814e-12       5.839863261706e-13      -3.668470215500e-15 
  157       6.052888471919e-10       1.382933573265e-13      -6.034800115523e-12       0.000000000000e+00       3.112003510129e-12       5.757082214985e-13      -3.603535089111e-15 
  158       6.093811926744e-10       1.372500674357e-13      -6.015876574071e-12       0.000000000000e+00       3.055246504998e-12       5.675269994648e-13      -3.536660163640e-15 
  159       6.134390359527e-10       1.361609229955e-13      -5.993521000245e-12       0.000000000000e+00       2.999802062890e-12       5.594711903084e-13      -3.469789716335e-15 
  160       6.174610084461e-10       1.350279574076e-13      -5.967705088953e-12       0.000000000000e+00       2.945621552171e-12       5.515645949673e-13      -3.404565082889e-15 
  161       6.214459330709e-10       1.338532611779e-13      -5.938402932419e-12       0.000000000000e+00       2.892679687111e-12       5.438085942836e-13      -3.341082312082e-15 
  162       6.253926643205e-10       1.326390242105e-13      -5.905590672476e-12       0.000000000000e+00       2.840953780534e-12       5.361982813554e-13      -3.279026389098e-15 
  163       6.293000328374e-10       1.313875514639e-13      -5.869246406891e-12       0.000000000000e+00       2.790416526348e-12       5.287280160372e-13      -3.218062210635e-15 
  164       6.331668449970e-10       1.301012645836e-13      -5.829350229433e-12       0.000000000000e+00       2.741035905405e-12       5.213914103046e-13      -3.157834247228e-15 
  165       6.369918824922e-10       1.287827035351e-13      -5.785884269945e-12       0.000000000000e+00       2.692775091374e-12       5.141813136199e-13      -3.097966205571e-15 
  166       6.407739019172e-10       1.274345282361e-13      -5.738832734415e-12       0.000000000000e+00       2.645592356603e-12       5.070897982973e-13      -3.038060690838e-15 
  167       6.445116490163e-10       1.260594893077e-13      -5.688181597437e-12       0.000000000000e+00       2.599447138549e-12       5.001102330700e-13      -2.977792164111e-15 
  168       6.482039036655e-10       1.246603341027e-13      -5.633917566152e-12       0.000000000000e+00       2.554319017560e-12       4.932437331284e-13      -2.917195428465e-15 
  169       6.518494379514e-10       1.232398957463e-13      -5.576029104190e-12       0.000000000000e+00       2.510190185824e-12       4.864932350163e-13      -2.856401227837e-15 
  170       6.554470015014e-10       1.218011247856e-13      -5.514506809619e-12       0.000000000000e+00       2.467039365267e-12       4.798614522969e-13      -2.795545227946e-15 
  171       6.589953211309e-10       1.203470906901e-13      -5.449343453523e-12       0.000000000000e+00       2.424841739764e-12       4.733508698491e-13      -2.734768077648e-15 
  172       6.624931004903e-10       1.188809833522e-13      -5.380534018588e-12       0.000000000000e+00       2.383568887360e-12       4.669637381645e-13      -2.674215470298e-15 
  173       6.659390197117e-10       1.174061145877e-13      -5.308075737687e-12       0.000000000000e+00       2.343188712483e-12       4.607020676446e-13      -2.614038205111e-15 
  174       6.693317994943e-10       1.159258810509e-13      -5.231967977443e-12       0.000000000000e+00       2.303669846224e-12       4.545652632752e-13      -2.554345360061e-15 
