# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  142       5.406600945836e-10       1.473728834370e-13      -5.931180390215e-12       0.000000000000e+00       4.151190507389e-12       7.204508870570e-13      -4.571548868241e-15 
  143       5.451128350860e-10       1.471917888973e-13      -5.959220482476e-12       0.000000000000e+00       4.069199397281e-12       7.086841873211e-13      -4.479131734483e-15 
  144       5.495504929599e-10       1.469465287649e-13      -5.984447606026e-12       0.000000000000e+00       3.989273371196e-12       6.969841969290e-13      -4.381448134996e-15 
  145       5.539718456460e-10       1.466376332237e-13      -6.006809790026e-12       0.000000000000e+00       3.911358665773e-12       6.854821956681e-13      -4.283668991834e-15 
  146       5.583756192803e-10       1.462657248063e-13      -6.026256269090e-12       0.000000000000e+00       3.835391179850e-12       6.743160091064e-13      -4.191255334178e-15 
  147       5.627604876177e-10       1.458315201291e-13      -6.042737522072e-12       0.000000000000e+00       3.761296242490e-12       6.636301146867e-13      -4.109963279015e-15 
  148       5.671251142201e-10       1.453358337590e-13      -6.056205554720e-12       0.000000000000e+00       3.688999533679e-12       6.535349222187e-13      -4.044189900225e-15 
  149       5.714682858500e-10       1.447795865794e-13      -6.066614696386e-12       0.000000000000e+00       3.618461516082e-12       6.439799895864e-13      -3.991821511064e-15 
  150       5.757887898919e-10       1.441638015323e-13      -6.073920953996e-12       0.000000000000e+00       3.549645882300e-12       6.348687819168e-13      -3.948898030892e-15 
  151       5.800853714046e-10       1.434896032894e-13      -6.078081814848e-12       0.000000000000e+00       3.482508529289e-12       6.260982888312e-13      -3.911223659649e-15 
  152       5.843567322803e-10       1.427582199969e-13      -6.079056286735e-12       0.000000000000e+00       3.416997387063e-12       6.175589083798e-13      -3.874362830183e-15 
  153       5.886015304035e-10       1.419709850225e-13      -6.076804938066e-12       0.000000000000e+00       3.353052247408e-12       6.091343309771e-13      -3.833636160569e-15 
  154       5.928184110158e-10       1.411293294563e-13      -6.071289799491e-12       0.000000000000e+00       3.290613172109e-12       6.007268905823e-13      -3.785226195614e-15 
  155       5.970061058399e-10       1.402347551642e-13      -6.062473974140e-12       0.000000000000e+00       3.229646951591e-12       5.923364963213e-13      -3.729618029520e-15 
  156       6.011633415486e-10       1.392888625644e-13      -6.050322067746e-12       0.000000000000e+00       3.170122774398e-12       5.839888027043e-13      -3.668470181115e-15 
  157       6.052888077073e-10       1.382933613340e-13      -6.034800363003e-12       0.000000000000e+00       3.112003740197e-12       5.757104094291e-13      -3.603534882894e-15 
  158       6.093811560954e-10       1.372500721081e-13      -6.015876858998e-12       0.000000000000e+00       3.055246731626e-12       5.675288733459e-13      -3.536659612506e-15 
  159       6.134390000268e-10       1.361609281797e-13      -5.993521310632e-12       0.000000000000e+00       2.999802286127e-12       5.594727204221e-13      -3.469788624245e-15 
  160       6.174609703841e-10       1.350279628529e-13      -5.967705407292e-12       0.000000000000e+00       2.945621772046e-12       5.515657521141e-13      -3.404563246380e-15 
  161       6.214458907490e-10       1.338532666711e-13      -5.938403243928e-12       0.000000000000e+00       2.892679903652e-12       5.438093699969e-13      -3.341079586775e-15 
  162       6.253926166289e-10       1.326390296128e-13      -5.905590967413e-12       0.000000000000e+00       2.840953993779e-12       5.361986940654e-13      -3.279022709757e-15 
  163       6.292999797325e-10       1.313875567152e-13      -5.869246680819e-12       0.000000000000e+00       2.790416736340e-12       5.287281124017e-13      -3.218057595264e-15 
  164       6.331667875555e-10       1.301012697064e-13      -5.829350483497e-12       0.000000000000e+00       2.741036112198e-12       5.213912665609e-13      -3.157828801221e-15 
  165       6.369918229655e-10       1.287827086386e-13      -5.785884511149e-12       0.000000000000e+00       2.692775295028e-12       5.141810369561e-13      -3.097960125932e-15 
  166       6.407738437870e-10       1.274345335205e-13      -5.738832975905e-12       0.000000000000e+00       2.645592557188e-12       5.070895282451e-13      -3.038054270463e-15 
  167       6.445115966302e-10       1.260594950421e-13      -5.688181856913e-12       0.000000000000e+00       2.599447336140e-12       5.001101318625e-13      -2.977785769880e-15 
  168       6.482038605725e-10       1.246603405219e-13      -5.633917858481e-12       0.000000000000e+00       2.554319212232e-12       4.932439418551e-13      -2.917189398126e-15 
  169       6.518494064275e-10       1.232399030223e-13      -5.576029439336e-12       0.000000000000e+00       2.510190377646e-12       4.864938610888e-13      -2.856395841264e-15 
  170       6.554469824853e-10       1.218011330240e-13      -5.514507192386e-12       0.000000000000e+00       2.467039554304e-12       4.798625676784e-13      -2.795540703966e-15 
  171       6.589953141581e-10       1.203470999271e-13      -5.449343883305e-12       0.000000000000e+00       2.424841926077e-12       4.733525092582e-13      -2.734764570830e-15 
  172       6.624931036266e-10       1.188809935507e-13      -5.380534489109e-12       0.000000000000e+00       2.383569071003e-12       4.669658972519e-13      -2.674213067688e-15 
  173       6.659390294857e-10       1.174061256345e-13      -5.308076236738e-12       0.000000000000e+00       2.343188893505e-12       4.607047011424e-13      -2.614036922921e-15 
